threshold,train_accuracy,test_accuracy,description,train_tie_predictions,test_tie_predictions,train_tie_rate,test_tie_rate
0,0.4383693706101088,0.46944858420268254,Baseline (no threshold),,,,
10,0.41605839416058393,0.46050670640834573,Threshold = 10,731.0,272.0,0.1006748381765597,0.06756085444610035
20,0.39512463847954826,0.44808743169398907,Threshold = 20,1473.0,544.0,0.20286461919845752,0.1351217088922007
30,0.3747417711059083,0.4356681569796324,Threshold = 30,2149.0,827.0,0.29596474314832666,0.2054148037754595
40,0.36207134003580776,0.4232488822652757,Threshold = 40,2763.0,1118.0,0.3805260983335629,0.2776949826130154
50,0.34554469081393746,0.41306507699950323,Threshold = 50,3331.0,1379.0,0.4587522379837488,0.3425235966219573
60,0.33135931689849885,0.4056135121708892,Threshold = 60,3903.0,1586.0,0.5375292659413304,0.3939393939393939
70,0.31910205205894504,0.3936910084451068,Threshold = 70,4453.0,1828.0,0.6132764082082358,0.4540486835568803
80,0.305605288527751,0.3840039741679086,Threshold = 80,4944.0,2024.0,0.680897947941055,0.5027322404371585
90,0.2989946288390029,0.3738201689021361,Threshold = 90,5331.0,2208.0,0.7341963916815866,0.5484351713859911
100,0.2915576366891613,0.3633879781420765,Threshold = 100,5705.0,2390.0,0.7857044484230822,0.5936413313462494
